Username,Date,Text,Geo,Hashtags,,,,
 +CCMFeltHats,1/31/17 18:30,Today I sent postcards to my elected representatives to share #WhyIMarch : #10actions100days #WomensMarch #HearOurVoice pic.twitter.com/FZ3N8j2e53,"Canaan, New Hampshire",#WhyIMarch #10actions100days #WomensMarch #HearOurVoice,,,,
 +renzloh,1/31/17 18:30,I guess that makes him a pussy? #WomensMarch https:// twitter.com/thinkprogress/ status/826569626351964162 â€_,"Bucks County, PA",#WomensMarch,,,,
 +EWADJD_D,1/31/17 18:30,Protest EVERYWHERE!! This is working!! They need to see that this is unacceptable! #WomensMarch https:// twitter.com/cnnsitroom/sta tus/826560682741026818 â€_,United States,#WomensMarch,,,,
 +TheRealCurve,1/31/17 18:30,The Women's March On Washington http:// goo.gl/DhJO8P #lesbicontent #womensmarch @Revimonroe pic.twitter.com/qsuf731flS,USA,#lesbicontent #womensmarch,,,,
 +liza_otay,1/31/17 18:30,"& ripping families about, building walls and banning refugees reflects incompetents & No skills. #YourFired #womensmarch https:// twitter.com/DanaRohrabache r/status/826289616936398848 â€_","My Congress is anti-same sex marriage/immigrants, Pro Trump/DeVos, & doesn't believe Global warming is true, Dana Rohrabacher(R)48",#YourFired #womensmarch,,,,
 +Blu2184,1/31/17 18:29,For all the women complaining about the #womensmarch #WomensMarchOnWashington pic.twitter.com/iFak0GD6BL,,#womensmarch #WomensMarchOnWashington,,,,
 +TotallyHussein,1/31/17 18:28,The @arabamericanmus is collecting a range of memorabilia from #ArabAmericans who participated in the #WomensMarch http:// bit.ly/2jRH0CM,"Manchester, England",#ArabAmericans #WomensMarch,,,,
 +1stAmend_Rights,1/31/17 18:28,"@SenSchumer Thank you for your strong stance on steps of SC. It is good to see our reps standing up for us. #WomensMarch , 2018 tsunami","Florida, USA",#WomensMarch,,,,
 +RetadinRizien,1/31/17 18:28,..... and then...... nothing happened.. like the #WomensMarch,,#WomensMarch,,,,
 +Nikolai3d,1/31/17 18:28,"The whole movement should've been dubbed V for Vagenda"" #WomensMarch""","Silicon Valley, California",#WomensMarch,,,,
 +PABossBabe,1/31/17 18:27,#resist #RESISTANCE #Indivisible #WomensMarch https:// twitter.com/cnnsitroom/sta tus/826560682741026818 â€_,,#resist #RESISTANCE #Indivisible #WomensMarch,,,,
